W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28W03.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M11N05.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F29N10.wav
W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21W28.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A25.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F12N04.wav
W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M48W01.wav
F,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03F01.wav
S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F03S02.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A20.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A02.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25N07.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F19N11.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N41.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M09A01.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M54N03.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A06.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22N15.wav
S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F02S12.wav
W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F13W02.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A24.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22N28.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F03A09.wav
S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M14S01.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M02N05.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F11N01.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N65.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A15.wav
S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M20S01.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25N21.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A21.wav
S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S27.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F30A05.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N31.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N59.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23N07.wav
H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28H03.wav
S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51S01.wav
W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24W01.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M44N23.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A03.wav
N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F17N01.wav
S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S02.wav
S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F26S02.wav
H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24H19.wav
S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28S21.wav
A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A45.wav
S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F22S01.wav
W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01W04.wav
F,/data1/jiayu_xiao/project/wzh/data/persian_wav/F02F01.wav
H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21H09.wav
